Problem,isSolved,h*,ff_h(s),h(s),h*/h(s)
p06.pddl,0,None,27,None,0
p20.pddl,0,None,62,None,0
p08.pddl,0,None,21,None,0
p18.pddl,0,None,32,None,0
p24.pddl,0,None,72,None,0
p04.pddl,1,8,8,8,1.0
p14.pddl,0,None,23,None,0
p30.pddl,0,None,80,None,0
p32.pddl,0,None,108,None,0
p16.pddl,0,None,30,None,0
p36.pddl,0,None,143,None,0
p29.pddl,0,None,46,None,0
p38.pddl,0,None,170,None,0
p34.pddl,0,None,103,None,0
p22.pddl,0,None,49,None,0
p12.pddl,1,19,20,16,1.1875
p02.pddl,1,8,7,7,1.14285714286
p26.pddl,0,None,46,None,0
p10.pddl,0,None,29,None,0
p40.pddl,0,None,210,None,0
